nohup: ignoring input
Epoch: 34, Loss D: 0.5467655658721924, Loss G: 1.1512377262115479, MMD: 0.0625, EMD: 0.1314743862472564, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 35, Loss D: 0.5245521068572998, Loss G: 1.4702914953231812, MMD: 0.0625, EMD: 0.11170428669679355, GPU Memory: 407/8192 MiB, GPU Utilization: 23%
Epoch: 36, Loss D: 0.5224895477294922, Loss G: 1.0032069683074951, MMD: 0.0625, EMD: 0.12364711954750865, GPU Memory: 407/8192 MiB, GPU Utilization: 16%
Epoch: 37, Loss D: 0.6340265274047852, Loss G: 1.5514476299285889, MMD: 0.0625, EMD: 0.11375214557949095, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 38, Loss D: 0.5341359972953796, Loss G: 1.096535325050354, MMD: 0.0625, EMD: 0.11232621973400984, GPU Memory: 407/8192 MiB, GPU Utilization: 36%
Epoch: 39, Loss D: 0.4870924949645996, Loss G: 1.1022523641586304, MMD: 0.0625, EMD: 0.11257553959769573, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 40, Loss D: 0.5242583155632019, Loss G: 1.349448800086975, MMD: 0.0625, EMD: 0.12310931089424272, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 41, Loss D: 0.5068368911743164, Loss G: 0.934794545173645, MMD: 0.0625, EMD: 0.1242062603654508, GPU Memory: 407/8192 MiB, GPU Utilization: 15%
Epoch: 42, Loss D: 0.7314445376396179, Loss G: 0.7718287706375122, MMD: 0.0625, EMD: 0.11293990604787969, GPU Memory: 407/8192 MiB, GPU Utilization: 24%
Epoch: 43, Loss D: 0.5888578295707703, Loss G: 0.9903132915496826, MMD: 0.0625, EMD: 0.12406018047460994, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 44, Loss D: 0.6160818338394165, Loss G: 0.7680381536483765, MMD: 0.0625, EMD: 0.10387393251082651, GPU Memory: 407/8192 MiB, GPU Utilization: 18%
Epoch: 45, Loss D: 0.6527778506278992, Loss G: 0.9712184071540833, MMD: 0.0625, EMD: 0.10877633935766955, GPU Memory: 407/8192 MiB, GPU Utilization: 30%
Epoch: 46, Loss D: 0.5318700075149536, Loss G: 1.256902813911438, MMD: 0.0625, EMD: 0.1022788775429984, GPU Memory: 407/8192 MiB, GPU Utilization: 22%
Epoch: 47, Loss D: 0.6091889142990112, Loss G: 0.9632530212402344, MMD: 0.0625, EMD: 0.10905967962440738, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 48, Loss D: 0.6052395105361938, Loss G: 0.9230211973190308, MMD: 0.0625, EMD: 0.11262895899445464, GPU Memory: 407/8192 MiB, GPU Utilization: 15%
Epoch: 49, Loss D: 0.6380462646484375, Loss G: 1.1808286905288696, MMD: 0.0625, EMD: 0.10654637433830133, GPU Memory: 407/8192 MiB, GPU Utilization: 22%
Epoch: 50, Loss D: 0.5999008417129517, Loss G: 1.0282403230667114, MMD: 0.0625, EMD: 0.09914438861701966, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 51, Loss D: 0.7275108695030212, Loss G: 0.9138994216918945, MMD: 0.0625, EMD: 0.10194565779797628, GPU Memory: 407/8192 MiB, GPU Utilization: 19%
Epoch: 52, Loss D: 0.6434358954429626, Loss G: 0.959267258644104, MMD: 0.0625, EMD: 0.1030253308627679, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 53, Loss D: 0.7027179598808289, Loss G: 0.9186986684799194, MMD: 0.0625, EMD: 0.10788651257586461, GPU Memory: 407/8192 MiB, GPU Utilization: 17%
Epoch: 54, Loss D: 0.6045670509338379, Loss G: 0.8886146545410156, MMD: 0.0625, EMD: 0.1141910087617872, GPU Memory: 407/8192 MiB, GPU Utilization: 15%
Epoch: 55, Loss D: 0.735512912273407, Loss G: 0.8383890390396118, MMD: 0.0625, EMD: 0.10815756161865901, GPU Memory: 407/8192 MiB, GPU Utilization: 28%
Epoch: 56, Loss D: 0.6720492243766785, Loss G: 1.1117548942565918, MMD: 0.0625, EMD: 0.10401774630286567, GPU Memory: 407/8192 MiB, GPU Utilization: 12%
Epoch: 57, Loss D: 0.6897808313369751, Loss G: 0.9017462730407715, MMD: 0.0625, EMD: 0.10829148199602004, GPU Memory: 407/8192 MiB, GPU Utilization: 18%
Epoch: 58, Loss D: 0.6077293157577515, Loss G: 0.9658881425857544, MMD: 0.0625, EMD: 0.10602395779318965, GPU Memory: 407/8192 MiB, GPU Utilization: 17%
Epoch: 59, Loss D: 0.5939458608627319, Loss G: 0.9537482857704163, MMD: 0.0625, EMD: 0.12826167176993583, GPU Memory: 407/8192 MiB, GPU Utilization: 19%
Epoch: 60, Loss D: 0.6314181089401245, Loss G: 0.9898253679275513, MMD: 0.0625, EMD: 0.10449578644180033, GPU Memory: 407/8192 MiB, GPU Utilization: 22%
Epoch: 61, Loss D: 0.6720470190048218, Loss G: 1.0624034404754639, MMD: 0.0625, EMD: 0.09242340982252491, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 62, Loss D: 0.6014625430107117, Loss G: 0.8999074697494507, MMD: 0.0625, EMD: 0.10421333117435737, GPU Memory: 407/8192 MiB, GPU Utilization: 12%
Epoch: 63, Loss D: 0.5980135202407837, Loss G: 0.8690650463104248, MMD: 0.0625000074505806, EMD: 0.0874681037458333, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 64, Loss D: 0.649367094039917, Loss G: 0.9074258804321289, MMD: 0.0625, EMD: 0.08743145033208191, GPU Memory: 407/8192 MiB, GPU Utilization: 16%
Epoch: 65, Loss D: 0.6170278787612915, Loss G: 0.9280209541320801, MMD: 0.0625, EMD: 0.08722764562006498, GPU Memory: 407/8192 MiB, GPU Utilization: 15%
Epoch: 66, Loss D: 0.6961675882339478, Loss G: 0.797902524471283, MMD: 0.0625, EMD: 0.0867544585825311, GPU Memory: 407/8192 MiB, GPU Utilization: 25%
Epoch: 67, Loss D: 0.6380187273025513, Loss G: 0.9662680625915527, MMD: 0.0625, EMD: 0.09998319445614415, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 68, Loss D: 0.6888375282287598, Loss G: 0.7478330135345459, MMD: 0.0625, EMD: 0.09197604767704044, GPU Memory: 407/8192 MiB, GPU Utilization: 28%
Epoch: 69, Loss D: 0.580845296382904, Loss G: 0.9332322478294373, MMD: 0.0625, EMD: 0.09428177483208837, GPU Memory: 407/8192 MiB, GPU Utilization: 15%
Epoch: 70, Loss D: 0.7045625448226929, Loss G: 0.9332975149154663, MMD: 0.0625, EMD: 0.10610580602162038, GPU Memory: 407/8192 MiB, GPU Utilization: 31%
Epoch: 71, Loss D: 0.6493146419525146, Loss G: 0.8345685601234436, MMD: 0.0625, EMD: 0.10414015925789268, GPU Memory: 407/8192 MiB, GPU Utilization: 33%
Epoch: 72, Loss D: 0.6050693392753601, Loss G: 0.8965400457382202, MMD: 0.0625, EMD: 0.10335162135103988, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 73, Loss D: 0.6382930874824524, Loss G: 0.9493192434310913, MMD: 0.0625, EMD: 0.10064188674515412, GPU Memory: 407/8192 MiB, GPU Utilization: 23%
Epoch: 74, Loss D: 0.7883616089820862, Loss G: 0.9486719369888306, MMD: 0.06250014156103134, EMD: 0.11043752801813693, GPU Memory: 407/8192 MiB, GPU Utilization: 29%
Epoch: 75, Loss D: 0.7055082321166992, Loss G: 0.944156289100647, MMD: 0.0625, EMD: 0.10004595777198755, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 76, Loss D: 0.6657078266143799, Loss G: 1.0288000106811523, MMD: 0.0625, EMD: 0.09834327927830823, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 77, Loss D: 0.595210611820221, Loss G: 0.8784101605415344, MMD: 0.0625, EMD: 0.09733719288933618, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 78, Loss D: 0.6338408589363098, Loss G: 0.8890901207923889, MMD: 0.06250032782554626, EMD: 0.09627830111878666, GPU Memory: 407/8192 MiB, GPU Utilization: 20%
Epoch: 79, Loss D: 0.6429412364959717, Loss G: 0.9346076250076294, MMD: 0.0625, EMD: 0.10361340948306096, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 80, Loss D: 0.5162440538406372, Loss G: 1.1324756145477295, MMD: 0.0625, EMD: 0.09151564040055338, GPU Memory: 407/8192 MiB, GPU Utilization: 16%
Epoch: 81, Loss D: 0.6067720651626587, Loss G: 1.0659667253494263, MMD: 0.0625, EMD: 0.09234964697811987, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 82, Loss D: 0.5431661605834961, Loss G: 1.206041932106018, MMD: 0.0625, EMD: 0.10952267108517594, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 83, Loss D: 0.6227518916130066, Loss G: 0.9478575587272644, MMD: 0.0625, EMD: 0.09034099613780905, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 84, Loss D: 0.6535321474075317, Loss G: 0.8543146848678589, MMD: 0.0625, EMD: 0.08758911757470565, GPU Memory: 407/8192 MiB, GPU Utilization: 28%
Epoch: 85, Loss D: 0.6438848972320557, Loss G: 0.9070281982421875, MMD: 0.0625, EMD: 0.08487806208856283, GPU Memory: 407/8192 MiB, GPU Utilization: 24%
Epoch: 86, Loss D: 0.6946870684623718, Loss G: 0.9932123422622681, MMD: 0.0625, EMD: 0.09979179092187228, GPU Memory: 407/8192 MiB, GPU Utilization: 23%
Epoch: 87, Loss D: 0.6504971981048584, Loss G: 0.946880042552948, MMD: 0.0625, EMD: 0.08907611917256222, GPU Memory: 407/8192 MiB, GPU Utilization: 29%
Epoch: 88, Loss D: 0.570961058139801, Loss G: 0.91657555103302, MMD: 0.0625, EMD: 0.09006419458227802, GPU Memory: 407/8192 MiB, GPU Utilization: 28%
Epoch: 89, Loss D: 0.6401225328445435, Loss G: 0.9752134680747986, MMD: 0.0625, EMD: 0.08869594350869879, GPU Memory: 407/8192 MiB, GPU Utilization: 24%
Epoch: 90, Loss D: 0.6214249134063721, Loss G: 0.8305070400238037, MMD: 0.0625, EMD: 0.09808708616634128, GPU Memory: 407/8192 MiB, GPU Utilization: 24%
Epoch: 91, Loss D: 0.6088355779647827, Loss G: 1.1489026546478271, MMD: 0.0625, EMD: 0.08948315974369075, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 92, Loss D: 0.598015546798706, Loss G: 0.8881964683532715, MMD: 0.0625, EMD: 0.07982819154299435, GPU Memory: 407/8192 MiB, GPU Utilization: 26%
Epoch: 93, Loss D: 0.6224043369293213, Loss G: 0.8290057182312012, MMD: 0.0625, EMD: 0.10076795932734953, GPU Memory: 407/8192 MiB, GPU Utilization: 19%
Epoch: 94, Loss D: 0.6310285329818726, Loss G: 0.8829996585845947, MMD: 0.0625, EMD: 0.09619185237175418, GPU Memory: 407/8192 MiB, GPU Utilization: 11%
Epoch: 95, Loss D: 0.7099959850311279, Loss G: 0.9182054996490479, MMD: 0.0625, EMD: 0.09434263719041452, GPU Memory: 407/8192 MiB, GPU Utilization: 19%
Epoch: 96, Loss D: 0.5951182842254639, Loss G: 0.9870076179504395, MMD: 0.0625, EMD: 0.09229517472624825, GPU Memory: 407/8192 MiB, GPU Utilization: 27%
Epoch: 97, Loss D: 0.5906366109848022, Loss G: 0.9332649111747742, MMD: 0.0625, EMD: 0.1090686059532605, GPU Memory: 407/8192 MiB, GPU Utilization: 20%
Epoch: 98, Loss D: 0.6521767377853394, Loss G: 0.7988147735595703, MMD: 0.0625, EMD: 0.08983929280614399, GPU Memory: 407/8192 MiB, GPU Utilization: 31%
Epoch: 99, Loss D: 0.6443533301353455, Loss G: 0.8990769982337952, MMD: 0.0625, EMD: 0.08423037332277183, GPU Memory: 407/8192 MiB, GPU Utilization: 16%
Epoch: 100, Loss D: 0.6281163096427917, Loss G: 0.9877644181251526, MMD: 0.0625, EMD: 0.10058397440379431, GPU Memory: 407/8192 MiB, GPU Utilization: 10%
Epoch: 101, Loss D: 0.6641138195991516, Loss G: 0.8337818384170532, MMD: 0.0625, EMD: 0.07738667357963253, GPU Memory: 407/8192 MiB, GPU Utilization: 4%
Epoch: 102, Loss D: 0.5876916646957397, Loss G: 1.2484889030456543, MMD: 0.0625, EMD: 0.10047342972734441, GPU Memory: 407/8192 MiB, GPU Utilization: 15%
Epoch: 103, Loss D: 0.708195686340332, Loss G: 0.852812647819519, MMD: 0.0625, EMD: 0.10311815946203509, GPU Memory: 407/8192 MiB, GPU Utilization: 24%
Epoch: 104, Loss D: 0.6200312376022339, Loss G: 0.8003754615783691, MMD: 0.06250059604644775, EMD: 0.07911415424253888, GPU Memory: 407/8192 MiB, GPU Utilization: 22%
Epoch: 105, Loss D: 0.6001741886138916, Loss G: 1.0910050868988037, MMD: 0.0625, EMD: 0.09619984790861147, GPU Memory: 407/8192 MiB, GPU Utilization: 13%
Epoch: 106, Loss D: 0.5804154872894287, Loss G: 1.0509833097457886, MMD: 0.0625, EMD: 0.11161459003849869, GPU Memory: 407/8192 MiB, GPU Utilization: 21%
Epoch: 107, Loss D: 0.6630213260650635, Loss G: 0.9531387090682983, MMD: 0.0625, EMD: 0.08616859783604719, GPU Memory: 407/8192 MiB, GPU Utilization: 14%
