nohup: ignoring input
Epoch: 30, Loss D: 0.6217864751815796, Loss G: 0.8677464723587036, MMD: 0.0625, EMD: 0.09404363159886979, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 53°C
Epoch: 31, Loss D: 0.6396083235740662, Loss G: 0.9084019660949707, MMD: 0.0625, EMD: 0.09356860790599197, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 53°C
Epoch: 32, Loss D: 0.6950685977935791, Loss G: 0.948692798614502, MMD: 0.06250005960464478, EMD: 0.09009095317231079, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 53°C
Epoch: 33, Loss D: 0.6267076730728149, Loss G: 1.0052857398986816, MMD: 0.0625, EMD: 0.09606433020574709, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 34, Loss D: 0.5469509363174438, Loss G: 0.914210319519043, MMD: 0.0625000149011612, EMD: 0.08369465474720064, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 35, Loss D: 0.5992445945739746, Loss G: 1.069673776626587, MMD: 0.0625, EMD: 0.08699139489302682, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 36, Loss D: 0.6370300054550171, Loss G: 1.049975872039795, MMD: 0.0625, EMD: 0.07671490084755199, GPU Memory: 207/8192 MiB, GPU Utilization: 0%, GPU Temperature: 54°C
Epoch: 37, Loss D: 0.5599963068962097, Loss G: 1.2002826929092407, MMD: 0.0625, EMD: 0.08622373894431176, GPU Memory: 207/8192 MiB, GPU Utilization: 0%, GPU Temperature: 54°C
Epoch: 38, Loss D: 0.6439803838729858, Loss G: 0.9310870170593262, MMD: 0.0625, EMD: 0.08083772034680634, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 39, Loss D: 0.5958703756332397, Loss G: 1.0237642526626587, MMD: 0.0625, EMD: 0.09015508297455672, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 40, Loss D: 0.6748901605606079, Loss G: 0.8994259834289551, MMD: 0.0625, EMD: 0.08788690896054337, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 41, Loss D: 0.6379777193069458, Loss G: 0.8625813126564026, MMD: 0.0625, EMD: 0.08285778013932639, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 42, Loss D: 0.7234674692153931, Loss G: 0.8483061790466309, MMD: 0.0625, EMD: 0.08869069679998834, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 43, Loss D: 0.47681760787963867, Loss G: 1.144723653793335, MMD: 0.0625, EMD: 0.08081298058891545, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 44, Loss D: 0.5455330610275269, Loss G: 1.0595388412475586, MMD: 0.0625, EMD: 0.08291939152522854, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 45, Loss D: 0.6745257377624512, Loss G: 0.9904301762580872, MMD: 0.0625, EMD: 0.08172841129949027, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 46, Loss D: 0.6919490098953247, Loss G: 0.7397643327713013, MMD: 0.0625, EMD: 0.0768130782137653, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 47, Loss D: 0.654059648513794, Loss G: 0.951353907585144, MMD: 0.06250002235174179, EMD: 0.07957102656151081, GPU Memory: 207/8192 MiB, GPU Utilization: 4%, GPU Temperature: 54°C
Epoch: 48, Loss D: 0.6757354736328125, Loss G: 0.9482489824295044, MMD: 0.0625, EMD: 0.08997746329668402, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 49, Loss D: 0.604841411113739, Loss G: 0.9643486738204956, MMD: 0.0625, EMD: 0.08123233335693292, GPU Memory: 207/8192 MiB, GPU Utilization: 6%, GPU Temperature: 54°C
Epoch: 50, Loss D: 0.6792432069778442, Loss G: 0.7909650206565857, MMD: 0.0625, EMD: 0.07771643953125876, GPU Memory: 207/8192 MiB, GPU Utilization: 3%, GPU Temperature: 54°C
Epoch: 51, Loss D: 0.539760172367096, Loss G: 1.293953776359558, MMD: 0.0625, EMD: 0.07846667660950218, GPU Memory: 207/8192 MiB, GPU Utilization: 5%, GPU Temperature: 54°C
Epoch: 52, Loss D: 0.6502178907394409, Loss G: 0.8772019743919373, MMD: 0.0625, EMD: 0.07663789608785598, GPU Memory: 207/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 53, Loss D: 0.6500476598739624, Loss G: 0.7804873585700989, MMD: 0.0625, EMD: 0.07547533513413597, GPU Memory: 207/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 54, Loss D: 0.6767092943191528, Loss G: 0.8579140305519104, MMD: 0.0625, EMD: 0.08984753145538972, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
Epoch: 55, Loss D: 0.628814697265625, Loss G: 0.9407530426979065, MMD: 0.0625, EMD: 0.07799657824632411, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 56, Loss D: 0.6213417053222656, Loss G: 0.8333349227905273, MMD: 0.0625, EMD: 0.08098575326654467, GPU Memory: 207/8192 MiB, GPU Utilization: 2%, GPU Temperature: 54°C
Epoch: 57, Loss D: 0.6129196882247925, Loss G: 0.8786441087722778, MMD: 0.0625, EMD: 0.08336759672032926, GPU Memory: 207/8192 MiB, GPU Utilization: 1%, GPU Temperature: 54°C
