nohup: ignoring input
Epoch: 30, Loss D: 0.7282919883728027, Loss G: 0.9526380300521851, MMD: 0.0625, EMD: 0.09402313031020584, GPU Memory: 207/8192 MiB, GPU Utilization: 0%, GPU Temperature: 53°C
Epoch: 31, Loss D: 0.6455064415931702, Loss G: 0.9559816718101501, MMD: 0.0625, EMD: 0.0906918943755792, GPU Memory: 411/8192 MiB, GPU Utilization: 18%, GPU Temperature: 54°C
Epoch: 32, Loss D: 0.6569876670837402, Loss G: 1.0242576599121094, MMD: 0.0625, EMD: 0.08779694757982627, GPU Memory: 411/8192 MiB, GPU Utilization: 20%, GPU Temperature: 54°C
Epoch: 33, Loss D: 0.6689875721931458, Loss G: 0.9957505464553833, MMD: 0.0625, EMD: 0.08367473335890596, GPU Memory: 411/8192 MiB, GPU Utilization: 11%, GPU Temperature: 54°C
Epoch: 34, Loss D: 0.6062880754470825, Loss G: 0.9411598443984985, MMD: 0.0625, EMD: 0.08530182839838545, GPU Memory: 411/8192 MiB, GPU Utilization: 7%, GPU Temperature: 54°C
Epoch: 35, Loss D: 0.6620922088623047, Loss G: 0.8873564004898071, MMD: 0.0625, EMD: 0.08776151654187603, GPU Memory: 411/8192 MiB, GPU Utilization: 21%, GPU Temperature: 54°C
Epoch: 36, Loss D: 0.6084673404693604, Loss G: 0.7780076265335083, MMD: 0.0625, EMD: 0.0854599492690656, GPU Memory: 411/8192 MiB, GPU Utilization: 8%, GPU Temperature: 54°C
Epoch: 37, Loss D: 0.6868153810501099, Loss G: 0.8856116533279419, MMD: 0.0625, EMD: 0.07974987221246707, GPU Memory: 411/8192 MiB, GPU Utilization: 15%, GPU Temperature: 54°C
Epoch: 38, Loss D: 0.6108196973800659, Loss G: 0.8344405889511108, MMD: 0.0625, EMD: 0.09438827308683906, GPU Memory: 411/8192 MiB, GPU Utilization: 15%, GPU Temperature: 54°C
Epoch: 39, Loss D: 0.6020763516426086, Loss G: 0.9936506748199463, MMD: 0.0625, EMD: 0.08520242356541288, GPU Memory: 411/8192 MiB, GPU Utilization: 16%, GPU Temperature: 54°C
