Epoch, Batch, MMD, EMD, GPU Utilization, GPU Memory Used, GPU Temperature
0, 100, 0.0004960317746736109, 8.316195487976074, [(99, 2145296384, 76)]
0, 200, 0.0004960317746736109, 7.975831508636475, [(99, 2145296384, 78)]
0, 300, 0.0004960317746736109, 7.791815757751465, [(99, 2147393536, 78)]
0, 400, 0.0004960317746736109, 7.66752815246582, [(99, 2147393536, 78)]
0, 500, 0.0004960317746736109, 6.909875869750977, [(89, 2147393536, 79)]
0, 600, 0.0004960317746736109, 6.911043167114258, [(99, 2147393536, 79)]
0, 700, 0.0004960317746736109, 6.7852301597595215, [(99, 2147393536, 79)]
0, 800, 0.0004960317746736109, 6.254351615905762, [(99, 2147393536, 80)]
0, 900, 0.0004960317746736109, 6.519495964050293, [(99, 2147393536, 80)]
1, 100, 0.0004960317746736109, 5.770052909851074, [(99, 2229182464, 80)]
1, 200, 0.0004960317746736109, 5.592555046081543, [(99, 2229182464, 81)]
1, 300, 0.0004960317746736109, 5.629798889160156, [(99, 2229182464, 80)]
1, 400, 0.0004960317746736109, 5.09897518157959, [(99, 2229182464, 81)]
1, 500, 0.0004960317746736109, 5.381424903869629, [(99, 2248261632, 80)]
1, 600, 0.0004960317746736109, 5.025494575500488, [(99, 2248261632, 79)]
1, 700, 0.0004960317746736109, 4.709865570068359, [(99, 2248261632, 79)]
1, 800, 0.0004960317746736109, 4.594327926635742, [(99, 2248261632, 79)]
1, 900, 0.0004960317746736109, 4.511099815368652, [(95, 2248261632, 78)]
2, 100, 0.0004960317746736109, 4.694589614868164, [(99, 2248261632, 78)]
2, 200, 0.0004960317746736109, 4.5940022468566895, [(99, 2248261632, 78)]
2, 300, 0.0004960317746736109, 4.832776069641113, [(99, 2248261632, 78)]
2, 400, 0.0004960317746736109, 4.32405948638916, [(99, 2248261632, 78)]
2, 500, 0.0004960317746736109, 4.250114440917969, [(99, 2248261632, 78)]
2, 600, 0.0004960317746736109, 4.457684516906738, [(99, 2248130560, 74)]
2, 700, 0.0004960317746736109, 4.464954376220703, [(99, 2248130560, 77)]
2, 800, 0.0004960317746736109, 4.576512813568115, [(99, 2248130560, 76)]
2, 900, 0.0004960317746736109, 4.381600379943848, [(99, 2248130560, 76)]
3, 100, 0.0004960317746736109, 4.309903144836426, [(99, 2248130560, 76)]
3, 200, 0.0004960317746736109, 4.35499382019043, [(99, 2248130560, 76)]
3, 300, 0.0004960317746736109, 4.453203201293945, [(99, 2248130560, 76)]
3, 400, 0.0004960317746736109, 4.610773086547852, [(99, 2248130560, 76)]
3, 500, 0.0004960317746736109, 4.3141069412231445, [(99, 2248130560, 76)]
3, 600, 0.0004960317746736109, 4.39413595199585, [(99, 2248130560, 76)]
3, 700, 0.0004960317746736109, 4.526601791381836, [(99, 2248130560, 76)]
3, 800, 0.0004960317746736109, 4.496807098388672, [(99, 2248130560, 76)]
3, 900, 0.0004960317746736109, 4.422330856323242, [(99, 2238627840, 77)]
4, 100, 0.0004960317746736109, 4.514980316162109, [(99, 2238627840, 76)]
4, 200, 0.0004960317746736109, 4.327449798583984, [(99, 2238627840, 76)]
4, 300, 0.0004960317746736109, 4.4295783042907715, [(99, 2238627840, 76)]
4, 400, 0.0004960317746736109, 4.566199779510498, [(99, 2238627840, 77)]
4, 500, 0.0004960317746736109, 4.439064979553223, [(99, 2238627840, 76)]
4, 600, 0.0004960317746736109, 4.441391944885254, [(99, 2238627840, 76)]
4, 700, 0.0004960317746736109, 4.357339859008789, [(94, 2238627840, 77)]
4, 800, 0.0004960317746736109, 4.497865676879883, [(99, 2238627840, 76)]
4, 900, 0.0004960317746736109, 4.560211181640625, [(99, 2238627840, 76)]
